STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160116,0.35,-9999,0,37,42,34,6.9,10,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160117,0,-9999,0,35,38,29,7.4,320,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160118,0,-9999,0.1,26,29,19,16.1,290,33.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160119,0,-9999,0,21,27,17,19,310,35.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160120,0,-9999,0,26,35,19,10.5,320,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160121,0,-9999,0,26,35,19,10.7,300,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160122,0,-9999,0,23,31,13,9.8,10,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160123,0.1,1.2,1.5,25,28,22,18.1,30,31.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160124,0,1.2,0,26,38,17,9.8,360,23.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160125,0,1.2,0,29,38,20,5.1,180,12.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160126,0,1.2,0,34,47,22,8.1,200,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160127,0,-9999,0,41,47,26,9.8,310,23.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160128,0,-9999,0,31,44,17,6.5,190,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160129,0,-9999,0,34,44,27,7.8,310,23.9
